time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,roll,pitch,yaw,roll_dot,pitch_dot,yaw_dot,roll_ddot,pitch_ddot,yaw_ddot,quat_w,quat_x,quat_y,quat_z,quat_dot_w,quat_dot_x,quat_dot_y,quat_dot_z
0.25,3.61963341306823e-05,0,-0.000546532043413175,0.000582115833154741,0,-0.00844354040095366,0.00704008101326115,0,-0.0954279022165137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,4.23791081112009e-05,0,-0.000635851537233756,0.000655409925820716,0,-0.00943169538806751,0.00762265902725138,0,-0.102229995001127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,4.93243441379784e-05,0,-0.000735395345122288,0.000734647470885141,0,-0.0104886661339846,0.00822877405998974,0,-0.109189841212408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28,5.70926538255555e-05,0,-0.0008458593915015,0.000820063908713834,0,-0.0116159939659314,0.00885843946455182,0,-0.116300217012171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29,6.57470037916121e-05,0,-0.000967954654628916,0.000911894792760138,0,-0.0128151484988284,0.00951166450881957,0,-0.123554003675459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,7.53527165839282e-05,0,-0.00110240645471926,0.00101037574881655,0,-0.0140875286833645,0.0101884543961935,0,-0.130944186978919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31,8.59774712008961e-05,0,-0.00124995375251702,0.00111574243447347,0,-0.0154344638479541,0.0108888102863048,0,-0.138463856589178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,9.76913032076563e-05,0,-0.00141134845825801,0.00122823049878506,0,-0.0168572147345799,0.0116127293157275,0,-0.146106205451213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,0.000110566604449928,0,-0.00158735475095881,0.00134807554214223,0,-0.0183569745285172,0.0123602046186905,0,-0.153864529176728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,0.000124678122367603,0,-0.00177874840797275,0.00147551307635276,0,-0.0199348698819439,0.0131312253477901,0,-0.161732225432525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,0.000140102958910181,0,-0.00198631614475161,0.00161077848492854,0,-0.0215919619314327,0.0139257766947015,0,-0.169702793328881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,0.000156920569056106,0,-0.00221085496475146,0.00175410698357988,0,-0.0233292473093282,0.0147438399108917,0,-0.177769832807921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,0.000175212758938089,0,-0.0024531715194218,0.00190573358091706,0,-0.0251476591490069,0.015585392328331,0,-0.185927044031992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,0.000195063683576474,0,-0.00271408147821672,0.00206589303935885,0,-0.0270480680840216,0.0164504073802057,0,-0.194168226772033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,0.000216559844222734,0,-0.00299440890856689,0.00223481983624827,0,-0.0290312832411288,0.0173388546216297,0,-0.202487279795958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.000239790085315149,0,-0.00329498566575122,0.00241274812517542,0,-0.0310980532272008,0.0182506997503571,0,-0.21087820025702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,0.000264845591048759,0,-0.00361665079260714,0.00259991169750744,0,-0.0332490671100205,0.0191859046274941,0,-0.219335083082191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0.000291819881561647,0,-0.00396024992901816,0.00279654394412559,0,-0.0354849553929607,0.0201444272982114,0,-0.227852120360535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,0.000320808808739625,0,-0.00432663473111769,0.00300287781736948,0,-0.037806290983547,0.0211262220124559,0,-0.23642360073158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44,0.000351910551641404,0,-0.00471666230014792,0.00321914579318834,0,-0.0402135901559039,0.0221312392456633,0,-0.245043908773693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.00038522561154631,0,-0.00513119462091254,0.00344557983349953,0,-0.0427073135070857,0.02315942571947,0,-0.253707524392457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,0.000420856806626619,0,-0.00557109800976216,0.00368241134875406,0,-0.0452878669072898,0.0242107244224255,0,-0.262409022209039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47,0.000458909266246587,0,-0.00603724257205143,0.0039298711607093,0,-0.0479556024439549,0.0252850746307041,0,-0.271143070948567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,0.000499490424890236,0,-0.00653050166900635,0.00418818946540881,0,-0.0507108193597424,0.0263824119288176,0,-0.279904432828507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,0.000542710015719983,0,-0.00705175139394101,0.00445759579636922,0,-0.0535537649844016,0.027502668230327,0,-0.288687962947031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.000588680063768165,0,-0.00760187005776222,0.00473831898797435,0,-0.0564846356605184,0.0286457717985548,0,-0.297488608671396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,0.000637514878763543,0,-0.00818173768370123,0.00503058713907635,0,-0.0595035776631485,0.0298116472672972,0,-0.306301409026313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52,0.000689331047594859,0,-0.00879223551121103,0.00533462757680397,0,-0.0626106881133334,0.0310002156615365,0,-0.315121494082328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,0.000744247426413501,0,-0.00943424550896835,0.00565066682057804,0,-0.0658060158855009,0.0322113944181525,0,-0.323944084344187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,0.000802385132377368,0,-0.010108649896919,0.00597893054633398,0,-0.0690895625087487,0.0334450974066354,0,-0.332764490139219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,0.00086386753503799,0,-0.0108163306773056,0.00631964355095145,0,-0.0724612830620124,0.0347012349497977,0,-0.341578111005703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,0.000928820247372982,0,-0.0115581691746162,0.00667302971689116,0,-0.0759210870631166,0.0359797138444861,0,-0.350380435081245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57,0.000997371116465901,0,-0.012335045584393,0.00703931197703875,0,-0.0794688393517101,0.0372804373822942,0,-0.359167038491152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,0.00106965021383558,0,-0.0131478385308397,0.00741871227975582,0,-0.0831043609660849,0.038603305370274,0,-0.367933584736805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59,0.00114578982541699,0,-0.0139974246331667,0.00781145155413811,0,-0.0868274300138789,0.0399482141516486,0,-0.376675824084033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
