time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,euler_roll,euler_pitch,euler_yaw,euler_rate_r,euler_rate_p,euler_rate_y,euler_acc_r,euler_acc_p,euler_acc_y,quat_w,quat_x,quat_y,quat_z,quat_rate_w,quat_rate_x,quat_rate_y,quat_rate_z,quat_acc_w,quat_acc_x,quat_acc_y,quat_acc_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_acc_x,ang_acc_y,ang_acc_z
0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0252525252525253,0,0,-0.0101010101010101,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0505050505050505,0,0,-0.0202020202020202,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0757575757575758,0,0,-0.0303030303030303,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.101010101010101,0,0,-0.0404040404040404,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126262626262626,0,0,-0.0505050505050505,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151515151515152,0,0,-0.0606060606060606,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.176767676767677,0,0,-0.0707070707070707,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.202020202020202,0,0,-0.0808080808080808,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.227272727272727,0,0,-0.0909090909090909,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252525252525253,0,0,-0.101010101010101,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.277777777777778,0,0,-0.111111111111111,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.303030303030303,0,0,-0.121212121212121,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.328282828282828,0,0,-0.131313131313131,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.353535353535354,0,0,-0.141414141414141,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.378787878787879,0,0,-0.151515151515152,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.404040404040404,0,0,-0.161616161616162,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.429292929292929,0,0,-0.171717171717172,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.454545454545455,0,0,-0.181818181818182,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47979797979798,0,0,-0.191919191919192,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.505050505050505,0,0,-0.202020202020202,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53030303030303,0,0,-0.212121212121212,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.555555555555556,0,0,-0.222222222222222,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.580808080808081,0,0,-0.232323232323232,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.606060606060606,0,0,-0.242424242424242,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.631313131313131,0,0,-0.252525252525253,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.656565656565657,0,0,-0.262626262626263,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.681818181818182,0,0,-0.272727272727273,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.707070707070707,0,0,-0.282828282828283,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.732323232323232,0,0,-0.292929292929293,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.757575757575758,0,0,-0.303030303030303,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.782828282828283,0,0,-0.313131313131313,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.808080808080808,0,0,-0.323232323232323,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.833333333333333,0,0,-0.333333333333333,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.858585858585859,0,0,-0.343434343434343,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.883838383838384,0,0,-0.353535353535354,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.909090909090909,0,0,-0.363636363636364,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.934343434343434,0,0,-0.373737373737374,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.95959595959596,0,0,-0.383838383838384,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.984848484848485,0,0,-0.393939393939394,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.01010101010101,0,0,-0.404040404040404,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.03535353535354,0,0,-0.414141414141414,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.06060606060606,0,0,-0.424242424242424,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.08585858585859,0,0,-0.434343434343434,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11111111111111,0,0,-0.444444444444444,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13636363636364,0,0,-0.454545454545455,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16161616161616,0,0,-0.464646464646465,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.18686868686869,0,0,-0.474747474747475,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.21212121212121,0,0,-0.484848484848485,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23737373737374,0,0,-0.494949494949495,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.26262626262626,0,0,-0.505050505050505,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.28787878787879,0,0,-0.515151515151515,0,0,-0.4,0,0,-0,0,-0,0,0,0,0,0,0,0,1,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0
